,State,newST,won,color,newcolor
0,Alabama,AL,T,0,0
1,Alaska,AK,T,0,0
2,Arizona,AZ,B,4,-3
3,Arkansas,AR,T,0,0
4,California,CA,B,-5,-5
5,Colorado,CO,B,-5,-5
6,Connecticut,CT,B,-5,-5
7,Delaware,DE,B,-5,-5
8,District of Columbia,DC,B,-5,-5
9,Florida,FL,T,4,-1
10,Georgia,GA,B,4,-3
11,Hawaii,HI,B,-5,-5
12,Idaho,ID,T,0,0
13,Illinois,IL,B,-5,-5
14,Indiana,IN,T,0,0
15,Iowa,IA,T,0,0
16,Kansas,KS,T,0,0
17,Kentucky,KY,T,0,0
18,Louisiana,LA,T,0,0
19,Maine,ME,B,-5,-5
20,Maryland,MD,B,-5,-5
21,Massachusetts,MA,B,-5,-5
22,Michigan,MI,B,4,-3
23,Minnesota,MN,B,4,-3
24,Mississippi,MS,T,0,0
25,Missouri,MO,T,0,0
26,Montana,MT,T,0,0
27,Nebraska,NE,T,0,0
28,Nevada,NV,B,-5,-5
29,New Hampshire,NH,B,-5,-5
30,New Jersey,NJ,B,-5,-5
31,New Mexico,NM,B,-5,-5
32,New York,NY,B,-5,-5
33,North Carolina,NC,T,4,-1
34,North Dakota,ND,T,0,0
35,Ohio,OH,T,0,0
36,Oklahoma,OK,T,0,0
37,Oregon,OR,B,-5,-5
38,Pennsylvania,PA,B,4,-3
39,Puerto Rico,PR,T,0,0
40,Rhode Island,RI,B,-5,-5
41,South Carolina,SC,T,0,0
42,Tennessee,TN,T,0,0
43,Texas,TX,T,0,0
44,Utah,UT,T,0,0
45,Vermont,VT,B,-5,-5
46,Virginia,VA,B,-5,-5
47,Washington,WA,B,-5,-5
48,West Virginia,WV,T,0,0
49,Wisconsin,WI,B,4,-3
50,Wyoming,WY,T,0,0
51,South Dakota,SD,T,0,0
,,SQ,,0,4
